,imdb_id,title,isAdult,year,minutes,genres,imdb_av_rating,imdb_num_votes,worldwide,domestic
1273,tt0347791,Pokémon Heroes,0,2002,80.0,"Action,Adventure,Animation",6.1,4995.0,20867919,746381.0
1274,tt0348121,Steamboy,0,2004,126.0,"Action,Adventure,Animation",6.9,16080.0,10870198,468867.0
1275,tt0348150,Superman Returns,0,2006,154.0,"Action,Sci-Fi",6.0,264335.0,391081192,200081192.0
1276,tt0348333,Waiting...,0,2005,94.0,Comedy,6.8,85555.0,18637690,16124543.0
1277,tt0348505,Asylum,0,2005,99.0,"Drama,Romance,Thriller",6.1,4675.0,1644363,375403.0
1278,tt0348529,Anatomy of Hell,0,2004,77.0,Drama,4.4,4809.0,345365,34506.0
1279,tt0348593,The Door in the Floor,0,2004,111.0,"Comedy,Drama",6.6,14874.0,6715067,3854624.0
1280,tt0348836,Gothika,0,2003,98.0,"Horror,Mystery,Thriller",5.8,102649.0,141591324,59694580.0
1281,tt0349079,Alila,0,2003,123.0,"Comedy,Drama",6.0,502.0,193385,50961.0
1282,tt0349159,"The Book of Mormon Movie, Volume 1: The Journey",0,2003,120.0,Adventure,3.0,453.0,1680020,1680020.0
1283,tt0349169,Breakin' All the Rules,0,2004,85.0,"Comedy,Romance",5.7,5707.0,12544254,12264319.0
1284,tt0349205,Cheaper by the Dozen,0,2003,98.0,"Comedy,Family",5.9,89234.0,190212113,138614544.0
1285,tt0349238,Controlled Chaos,0,2003,92.0,"Comedy,Drama",7.2,32.0,7549,7549.0
1286,tt0349260,In My Country,0,2004,105.0,"Drama,Romance",6.0,2447.0,1491434,163893.0
1287,tt0349333,Darna Mana Hai,0,2003,121.0,"Drama,Horror",6.3,2771.0,1335493,132348.0
1288,tt0349416,Eulogy,0,2004,91.0,"Comedy,Drama",6.6,8356.0,89781,75076.0
1289,tt0349467,Freedomland,0,2006,113.0,"Crime,Drama,Mystery",5.1,14984.0,14655628,12512886.0
1290,tt0349683,King Arthur,0,2004,126.0,"Action,Adventure,Drama",6.3,154696.0,203567857,51882244.0
1291,tt0349703,Kyun! Ho Gaya Na...,0,2004,165.0,"Comedy,Drama,Romance",4.2,1623.0,696718,336909.0
1292,tt0349710,Ladder 49,0,2004,115.0,"Action,Drama,Thriller",6.5,53502.0,100572044,74541707.0
1293,tt0349825,Miracle,0,2004,135.0,"Biography,Drama,History",7.5,44656.0,64445708,64378093.0
1294,tt0349903,Ocean's Twelve,0,2004,125.0,"Crime,Thriller",6.5,340275.0,362744280,125544280.0
1295,tt0350028,Raising Helen,0,2004,119.0,"Comedy,Drama,Romance",6.0,34470.0,49718611,37486512.0
1296,tt0350159,Stealing the Fire,0,2002,97.0,Documentary,6.3,15.0,2139,2139.0
1297,tt0350194,Teacher's Pet,0,2004,73.0,"Adventure,Animation,Comedy",5.8,1471.0,6491969,6491969.0
1298,tt0350232,Evil Remains,0,2004,88.0,"Horror,Thriller",4.0,1468.0,8747,8747.0
1299,tt0350258,Ray,0,2004,152.0,"Biography,Drama,Music",7.7,131192.0,123971376,75331600.0
